feature,coefficient,abs_coefficient
pass_attempts_s_minus_2,18.035557065016715,18.035557065016715
games_s_minus_1,7.676041714584597,7.676041714584597
rush_tds_s_minus_2,-5.9648733503606195,5.9648733503606195
fumbles_lost_s_minus_3,5.943836546753537,5.943836546753537
rec_yds_s_minus_3,5.0971558465416305,5.0971558465416305
ppr_per_game_s_minus_3,-5.025519601624801,5.025519601624801
rec_yds_s_minus_2,-3.4368960328014255,3.4368960328014255
rec_yards_per_game_s_minus_2,3.1661453112085693,3.1661453112085693
rush_yards_per_game_s_minus_3,-3.1351076071792825,3.1351076071792825
rec_tds_s_minus_1,-2.8690114829553677,2.8690114829553677
ppr_fantasy_points_s_minus_1,-2.695344492441097,2.695344492441097
yards_per_rec_s_minus_1,-2.556349355184391,2.556349355184391
pass_attempts_s_minus_1,-2.20982613170652,2.20982613170652
pos_RB,-2.1336039315969817,2.1336039315969817
targets_s_minus_1,-2.014434483694839,2.014434483694839
age_s_minus_3,-1.8018259307309714,1.8018259307309714
pass_tds_s_minus_2,-1.4960344987243201,1.4960344987243201
age_s_minus_2,1.3674081691756004,1.3674081691756004
games_started_s_minus_3,1.2699824222766447,1.2699824222766447
ppr_per_game_s_minus_2,1.2406104649397272,1.2406104649397272
fumbles_s_minus_1,1.1410327370553501,1.1410327370553501
ints_s_minus_1,0.9721846880436942,0.9721846880436942
pass_yards_per_game_s_minus_3,0.7844220019151384,0.7844220019151384
fumbles_s_minus_3,-0.7811301780389575,0.7811301780389575
pass_tds_s_minus_1,-0.6472027855986234,0.6472027855986234
rush_yards_s_minus_3,0.630004382787744,0.630004382787744
yards_per_rush_attempt_s_minus_2,-0.6129709861950937,0.6129709861950937
pass_yards_per_game_s_minus_2,0.6118852355071405,0.6118852355071405
rush_yards_per_game_s_minus_1,0.5794179448133753,0.5794179448133753
rush_yards_s_minus_2,0.5571241019666622,0.5571241019666622
games_started_s_minus_2,0.5510947208375407,0.5510947208375407
pass_yards_s_minus_2,-0.5504532851146493,0.5504532851146493
std_dev_ppr_last_3_seasons,0.5310518811552829,0.5310518811552829
pass_yards_s_minus_1,0.4723776189682997,0.4723776189682997
rush_yards_per_game_s_minus_2,-0.4528639460375772,0.4528639460375772
games_started_s_minus_1,0.43528495786216936,0.43528495786216936
rush_attempts_s_minus_1,-0.4100632029810116,0.4100632029810116
rec_yds_s_minus_1,0.376480998254229,0.376480998254229
rush_attempts_s_minus_2,-0.36659689544720764,0.36659689544720764
receptions_s_minus_1,0.3290826988330091,0.3290826988330091
pass_yards_s_minus_3,0.3122486867487439,0.3122486867487439
yards_per_rush_attempt_s_minus_3,-0.3011806387280376,0.3011806387280376
rec_tds_s_minus_2,-0.2981715975527261,0.2981715975527261
rush_yards_s_minus_1,-0.28144467730328393,0.28144467730328393
fumbles_s_minus_2,-0.28096665110384744,0.28096665110384744
age_s_minus_1,0.2487380236334732,0.2487380236334732
pass_tds_s_minus_3,0.24603006429142216,0.24603006429142216
ppr_fantasy_points_s_minus_2,-0.23904928529808434,0.23904928529808434
rush_attempts_s_minus_3,0.2356899184477852,0.2356899184477852
targets_s_minus_2,-0.22084998619788732,0.22084998619788732
rush_tds_s_minus_1,-0.20265625644163646,0.20265625644163646
ppr_fantasy_points_s_minus_3,-0.18859408680483297,0.18859408680483297
yards_per_rush_attempt_s_minus_1,-0.18574836748961043,0.18574836748961043
rush_tds_s_minus_3,-0.1811154052345283,0.1811154052345283
games_s_minus_2,-0.17179591768674674,0.17179591768674674
rec_yards_per_game_s_minus_3,0.17174509043784192,0.17174509043784192
receptions_s_minus_2,-0.1646421788124781,0.1646421788124781
ints_s_minus_3,0.13280247938130196,0.13280247938130196
completions_s_minus_1,0.12835076373368626,0.12835076373368626
rec_yards_per_game_s_minus_1,-0.1231391037543409,0.1231391037543409
completions_s_minus_2,0.11584771879091316,0.11584771879091316
fumbles_lost_s_minus_2,-0.11399553828680808,0.11399553828680808
ppr_per_game_s_minus_1,-0.10503005704777735,0.10503005704777735
avg_ppr_last_3_seasons,0.1017479670858707,0.1017479670858707
avg_ppr_last_2_seasons,0.09556411774309462,0.09556411774309462
pos_WR,-0.09457080601776531,0.09457080601776531
pos_QB,0.08694257827457355,0.08694257827457355
fumbles_lost_s_minus_1,-0.08561443683358783,0.08561443683358783
pass_yards_per_game_s_minus_1,0.0780166083035907,0.0780166083035907
yards_per_rec_s_minus_3,0.07112964129498334,0.07112964129498334
pass_attempts_s_minus_3,-0.06591406545021039,0.06591406545021039
ppr_trend_s1_vs_s2,-0.04880540637324904,0.04880540637324904
completions_s_minus_3,-0.03770894474464859,0.03770894474464859
pos_TE,-0.034191780839671,0.034191780839671
rec_tds_s_minus_3,0.029838983907411132,0.029838983907411132
targets_s_minus_3,-0.01929070160022084,0.01929070160022084
receptions_s_minus_3,-0.0183452933257906,0.0183452933257906
games_s_minus_3,-0.014748491667544328,0.014748491667544328
yards_per_rec_s_minus_2,-0.012074829974673573,0.012074829974673573
ints_s_minus_2,0.007142803734288217,0.007142803734288217
